# Songs Manifest - Generated 2025-12-24 23:46:39
Name,Path,Modified,Firmware,Has Arrangement,Kit Count,Synth Count,Audio Track Count,MIDI Channel Count,Kits,Synths,Audio Tracks,MIDI Channels
"Alr","SONGS/Alr.XML",2025-12-24,4.0.1,No,3,0,0,0,"KITS/KIT000; KITS/KIT016; KITS/KIT018","","",""
"Ape","SONGS/Ape.XML",2025-12-24,4.0.0,No,1,0,0,0,"KITS/KIT000","","",""
"Arpo","SONGS/Arpo.XML",2025-12-24,4.0.0,Yes,2,0,1,0,"KITS/KIT008; KITS/KIT043","","AUDIO3=SAMPLES/CLIPS/REC00002.WAV",""
"Beepboop","SONGS/Beepboop.XML",2025-12-24,4.0.1,No,2,0,0,0,"KITS/KIT051; KITS/KIT053","","",""
"Beginagain","SONGS/Beginagain.XML",2025-12-24,4.0.1,No,1,0,0,0,"KITS/KIT018","","",""
"Bingbong","SONGS/Bingbong.XML",2025-12-24,4.0.1,No,1,1,0,0,"KITS/KIT000","SYNTHS/KERERU/Arp2","",""
"Bloop","SONGS/Bloop.XML",2025-12-24,4.0.0,Yes,1,0,0,0,"KITS/KIT000","","",""
"Bmtk","SONGS/Bmtk.XML",2025-12-24,4.0.1,No,1,1,0,0,"KITS/KIT003","SYNTHS/YAZO-LEAD2","",""
"Colour","SONGS/Colour.XML",2025-12-24,4.0.0,Yes,1,0,0,0,"KITS/KIT012","","",""
"Dject","SONGS/Dject.XML",2025-12-24,4.0.0,No,1,0,0,0,"KITS/KIT018","","",""
"Env","SONGS/Env.XML",2025-12-24,4.0.0,Yes,2,0,0,0,"KITS/KIT010; KITS/KIT040","","",""
"Japarps","SONGS/Japarps.XML",2025-12-24,4.0.1,Yes,1,0,0,0,"KITS/KIT010","","",""
"Judder","SONGS/Judder.XML",2025-12-24,4.0.0,No,1,0,0,0,"KITS/KIT018","","",""
"K01Sink","SONGS/K01Sink.XML",2025-12-24,4.0.1,Yes,3,8,1,1,"KITS/KERERU/K01Perc; KITS/KERERU/K01Perc2; KITS/KIT000","SYNTHS/41-VIOLINE 3; SYNTHS/KERERU/K01Arp; SYNTHS/KERERU/K01Bass; SYNTHS/KERERU/K01Drone; SYNTHS/KERERU/K01Fillforarp; SYNTHS/KERERU/K01Fuzzbass; SYNTHS/KERERU/K01Twinkle2; SYNTHS/KERERU/K01Twinlke1","AUDIO2=SAMPLES/CLIPS/REC00040.WAV","0"
