# Synths Manifest - Generated 2025-12-25 00:26:36
Name,Path,Modified,Firmware,Sample Count,Samples
"11-STRINGS1","SYNTHS/11-STRINGS1.XML",2025-12-24,3.1.5,0,""
"12-STRING2","SYNTHS/12-STRING2.XML",2025-12-24,3.1.5,0,""
"13-STRING3","SYNTHS/13-STRING3.XML",2025-12-24,3.1.5,0,""
"14-ORGAN1","SYNTHS/14-ORGAN1.XML",2025-12-24,3.1.5,0,""
"15-ORGAN2","SYNTHS/15-ORGAN2.XML",2025-12-24,3.1.5,0,""
"16-ORGAN3","SYNTHS/16-ORGAN3.XML",2025-12-24,3.1.5,0,""
"17-BRASS","SYNTHS/17-BRASS.XML",2025-12-24,3.1.5,0,""
"18-PHASEBRASS","SYNTHS/18-PHASEBRASS.XML",2025-12-24,3.1.5,0,""
"21-PIANO1","SYNTHS/21-PIANO1.XML",2025-12-24,3.1.5,0,""
"22-PIANO2","SYNTHS/22-PIANO2.XML",2025-12-24,3.1.5,0,""
"23-CELESTA","SYNTHS/23-CELESTA.XML",2025-12-24,3.1.5,0,""
"24-MELLOWPIANO","SYNTHS/24-MELLOWPIANO.XML",2025-12-24,3.1.5,0,""
"25-HARPSICHORD1","SYNTHS/25-HARPSICHORD1.XML",2025-12-24,3.1.5,0,""
"26-HARPSICHORD2","SYNTHS/26-HARPSICHORD2.XML",2025-12-24,3.1.5,0,""
"27-GUITAR","SYNTHS/27-GUITAR.XML",2025-12-24,3.1.5,0,""
"28-SYNTHESIZERHARP","SYNTHS/28-SYNTHESIZERHARP.XML",2025-12-24,3.1.5,0,""
"31-BASS1","SYNTHS/31-BASS1.XML",2025-12-24,3.1.5,0,""
"32-BASS2","SYNTHS/32-BASS2.XML",2025-12-24,3.1.5,0,""
"33-CLAVICHORD1","SYNTHS/33-CLAVICHORD1.XML",2025-12-24,3.1.5,0,""
"34-CLAVICHORD2","SYNTHS/34-CLAVICHORD2.XML",2025-12-24,3.1.5,0,""
"35-PIZZICATOSOUND1","SYNTHS/35-PIZZICATOSOUND1.XML",2025-12-24,3.1.5,0,""
"36-PIZZICATOSOUND2","SYNTHS/36-PIZZICATOSOUND2.XML",2025-12-24,3.1.5,0,""
"37-XYLOPHONE","SYNTHS/37-XYLOPHONE.XML",2025-12-24,3.1.5,0,""
"38-GLOCKENSPIEL","SYNTHS/38-GLOCKENSPIEL.XML",2025-12-24,3.1.5,0,""
"41-VIOLINE","SYNTHS/41-VIOLINE.XML",2025-12-24,3.1.5,0,""
"42-TRUMPET","SYNTHS/42-TRUMPET.XML",2025-12-24,3.1.5,0,""
"43HORN","SYNTHS/43HORN.XML",2025-12-24,3.1.5,0,""
"44-TUBA","SYNTHS/44-TUBA.XML",2025-12-24,3.1.5,0,""
"45-FLUTE","SYNTHS/45-FLUTE.XML",2025-12-24,3.1.5,0,""
"46-CLARINET","SYNTHS/46-CLARINET.XML",2025-12-24,3.1.5,0,""
"47-OBOE","SYNTHS/47-OBOE.XML",2025-12-24,3.1.5,0,""
"48-ENGLISHHORN","SYNTHS/48-ENGLISHHORN.XML",2025-12-24,3.1.5,0,""
"51-FUNNYCAT","SYNTHS/51-FUNNYCAT.XML",2025-12-24,3.1.5,0,""
"52-WAHBRASS","SYNTHS/52-WAHBRASS.XML",2025-12-24,3.1.5,0,""
"53-PHASECOMBINATION","SYNTHS/53-PHASECOMBINATION.XML",2025-12-24,3.1.5,0,""
"54-REED1","SYNTHS/54-REED1.XML",2025-12-24,3.1.5,0,""
"55-POPCORN","SYNTHS/55-POPCORN.XML",2025-12-24,3.1.5,0,""
"56-REED2","SYNTHS/56-REED2.XML",2025-12-24,3.1.5,0,""
"57-REED3","SYNTHS/57-REED3.XML",2025-12-24,3.1.5,0,""
"58-PMWCHORUS","SYNTHS/58-PMWCHORUS.XML",2025-12-24,3.1.5,0,""
"61-SYNTHESIZERORGAN","SYNTHS/61-SYNTHESIZERORGAN.XML",2025-12-24,3.1.5,0,""
"62-EFFECTSOUND1","SYNTHS/62-EFFECTSOUND1.XML",2025-12-24,3.1.5,0,""
"63-EFFECTSOUND2","SYNTHS/63-EFFECTSOUND2.XML",2025-12-24,3.1.5,0,""
"64-SPACEHARP","SYNTHS/64-SPACEHARP.XML",2025-12-24,3.1.5,0,""
"65-FUNK","SYNTHS/65-FUNK.XML",2025-12-24,3.1.5,0,""
"66-SPACESOUND1","SYNTHS/66-SPACESOUND1.XML",2025-12-24,3.1.5,0,""
"68-SPACESOUND2","SYNTHS/68-SPACESOUND2.XML",2025-12-24,3.1.5,0,""
"71-PERCUSSIVESOUND1","SYNTHS/71-PERCUSSIVESOUND1.XML",2025-12-24,3.1.5,0,""
"74-EFFECTSOUND3","SYNTHS/74-EFFECTSOUND3.XML",2025-12-24,3.1.5,0,""
"77-SURF","SYNTHS/77-SURF.XML",2025-12-24,3.1.5,0,""
"78-SYNTHESIZERDRUM","SYNTHS/78-SYNTHESIZERDRUM.XML",2025-12-24,3.1.5,0,""
"Arp1","KERERU/Arp1.XML",2025-12-24,4.0.1,0,""
"Arp2","KERERU/Arp2.XML",2025-12-24,4.0.1,0,""
"Bassdirtyswell","KERERU/Bassdirtyswell.XML",2025-12-24,4.0.1,0,""
"BETT-PAD","SYNTHS/BETT-PAD.XML",2025-12-24,4.0.1,0,""
"BETT-POLY","SYNTHS/BETT-POLY.XML",2025-12-24,4.0.1,0,""
"DEPE-BASS","SYNTHS/DEPE-BASS.XML",2025-12-24,4.0.1,0,""
"DEPE-BASS2","SYNTHS/DEPE-BASS2.XML",2025-12-24,4.0.1,0,""
"DEPE-BLIP","SYNTHS/DEPE-BLIP.XML",2025-12-24,4.0.1,0,""
"DEPE-LEAD","SYNTHS/DEPE-LEAD.XML",2025-12-24,4.0.1,0,""
"DP-BASS","SYNTHS/DP-BASS.XML",2025-12-24,4.0.1,0,""
"DP-BRAS","SYNTHS/DP-BRAS.XML",2025-12-24,4.0.1,0,""
"DP-HARP","SYNTHS/DP-HARP.XML",2025-12-24,4.0.1,0,""
"DP-ORGN","SYNTHS/DP-ORGN.XML",2025-12-24,4.0.1,0,""
"DP-PAD","SYNTHS/DP-PAD.XML",2025-12-24,4.0.1,0,""
"DP-PAD2","SYNTHS/DP-PAD2.XML",2025-12-24,4.0.1,0,""
"DP-POLY","SYNTHS/DP-POLY.XML",2025-12-24,4.0.1,0,""
"DP-RESO","SYNTHS/DP-RESO.XML",2025-12-24,4.0.1,0,""
"DP-SWEL","SYNTHS/DP-SWEL.XML",2025-12-24,4.0.1,0,""
"DP-WIND","SYNTHS/DP-WIND.XML",2025-12-24,4.0.1,0,""
"DURA-POLY","SYNTHS/DURA-POLY.XML",2025-12-24,4.0.1,0,""
"EURH-BASS","SYNTHS/EURH-BASS.XML",2025-12-24,4.0.1,0,""
"EURH-POLY","SYNTHS/EURH-POLY.XML",2025-12-24,4.0.1,0,""
"EVER-BASS","SYNTHS/EVER-BASS.XML",2025-12-24,4.0.1,0,""
"EVER-POLY","SYNTHS/EVER-POLY.XML",2025-12-24,4.0.1,0,""
"Fuzz","KERERU/Fuzz.XML",2025-12-24,4.0.1,0,""
"GARY-LEAD","SYNTHS/GARY-LEAD.XML",2025-12-24,4.0.1,0,""
"GARY-LEAD2","SYNTHS/GARY-LEAD2.XML",2025-12-24,4.0.1,0,""
"Islp","SYNTHS/Islp.XML",2025-12-24,4.0.1,1,"SAMPLES/MICE/NatRad-IsoSlp-2Beats-108bpm.wav"
"JOYD-LEAD","SYNTHS/JOYD-LEAD.XML",2025-12-24,4.0.1,0,""
"K01Arp","KERERU/K01Arp.XML",2025-12-24,4.0.1,0,""
"K01Bass","KERERU/K01Bass.XML",2025-12-24,4.0.1,0,""
"K01Drone","KERERU/K01Drone.XML",2025-12-24,4.0.1,0,""
"K01Fillforarp","KERERU/K01Fillforarp.XML",2025-12-24,4.0.1,0,""
"K01Fuzzbass","KERERU/K01Fuzzbass.XML",2025-12-24,4.0.1,0,""
"K01Twinkle2","KERERU/K01Twinkle2.XML",2025-12-24,4.0.1,0,""
"K01Twinlke1","KERERU/K01Twinlke1.XML",2025-12-24,4.0.1,0,""
"K01Violin","KERERU/K01Violin.XML",2025-12-24,4.0.1,0,""
"KANY-BASS","SYNTHS/KANY-BASS.XML",2025-12-24,4.0.1,0,""
"KRAF-BASS","SYNTHS/KRAF-BASS.XML",2025-12-24,4.0.1,0,""
"KRAF-LEAD","SYNTHS/KRAF-LEAD.XML",2025-12-24,4.0.1,0,""
"KRAF-PAD","SYNTHS/KRAF-PAD.XML",2025-12-24,4.0.1,0,""
"KRAF-POLY","SYNTHS/KRAF-POLY.XML",2025-12-24,4.0.1,0,""
"KRAF-SEQ","SYNTHS/KRAF-SEQ.XML",2025-12-24,4.0.1,0,""
"KRAF-SEQ2","SYNTHS/KRAF-SEQ2.XML",2025-12-24,4.0.1,0,""
"KRumchybass","SYNTHS/KRumchybass.XML",2025-12-24,4.0.1,0,""
"NEWO-BASS","SYNTHS/NEWO-BASS.XML",2025-12-24,4.0.1,0,""
"PETS-BASS","SYNTHS/PETS-BASS.XML",2025-12-24,4.0.1,0,""
"PHIL-PAD","SYNTHS/PHIL-PAD.XML",2025-12-24,4.0.1,0,""
"SHAN-BASS","SYNTHS/SHAN-BASS.XML",2025-12-24,4.0.1,0,""
"SHAN-LEAD","SYNTHS/SHAN-LEAD.XML",2025-12-24,4.0.1,0,""
"SHAN-PAD","SYNTHS/SHAN-PAD.XML",2025-12-24,4.0.1,0,""
